No,Question１,Question2,Question3,Question4
0,1行目のテキスト,2行目のテキスト,3行目のテキスト,4行目のテキスト
1,明石海峡大橋は全長3911m、,富士山の標高は3776m、,大阪湾は深いところで淡路島,北東部沖の約60ｍです。
2,灘黒岩水仙郷では、淡路島南岸,の海に切り立つ急斜面に約500,万本の野生の水仙が群生してい,ます。
3,最大時の直径が約30ｍともいわ,れる鳴門海峡の「渦の大きさ」,は「世界一」になるといわれて,います。
4,外来入浴可能な施設も多数あり,ますので、湯めぐりもお愉しみ,いただけます。
5,淡路島のたまねぎは、甘さ、,柔らかさ、瑞々しさの三拍子が,揃い、スープやお菓子になど、,様々な加工もされています。
6,淡路島名産「牛肉」「玉ねぎ」「米」,と三拍子そろった自慢の食材か,ら作られた「淡路島牛丼」。,ぜひ、お召し上がりください。
7,工場見学は無料です。また、,お香づくりも体験できます（要,予約）。ショールームではお香や,お線香をご購入いただけます。
8,神戸市で取り扱っている真珠の,「真珠核」のほとんどは淡路島で,生産されており、生産高は全国,の70％を占めています。
9,所在地である旧一宮町（現 淡路,市）の地名は、この神社に由来,しています。
10,海の民に焦点を当てた,ストーリーなどで、古事記「国生,み神話」の背景にある人々の,営みをアピールしています。
11,神話の中の「おのころ島」だと,される「おのころ島神社」,「絵島」「沼島」など、島内の各所,で神話の浪漫が漂っています。
12,「みけつくに」と読み、ほかに,も福井県・若狭や三重県・志摩も,同じように呼ばれていました。
13,淡路のだんじりの魅力は、,勇姿・刺繍・彫刻・金綱などの美,術工芸品が勇壮な姿で練り歩く、,まさに動く美術館です。
14,漁業の神、さらには商いの神と,もされた恵比寿天をたたえ、漁,の安全と恵みを祈るものとして,人形芝居が行われてきました。
15,淡路島の面積は約592k㎡。,島の北部には日本標準時を定め,る東経135度の子午線が通って,います。
16,淡路島の海岸沿いにたたずむ,枯木神社には、今もその香木を,ご神体として大切に祀られてい,ると言われています。
17,製造工程で乾燥を必要とするお,線香づくりには瀬戸内海の西風,が非常に有効で、冬枯れ対策の,ための産業としても最適でした。
18,日本書紀の記述に基づき「香」,の字をその書き順から「一十八,日」と読み、4月18日が「お香の,日」とされました。
19,「六国」は産地の違いを表し、,「五味」は香りの違いを甘い・,辛い・酸っぱい・塩辛い・苦い,の味で表現しています。
20,実は「お香」と「お線香」には,っきりした区別はありません。,お香の中でも線状のものを線香,と呼んでいたと言われています。
21,香道では、香りを楽しむことを,「香りを聞く」と表現します。,奥ゆかしい世界に静かに心を,傾ける表現ですね。
22,「線香臭くなく、煙が少ないお,線香を」というご要望にお応え,して開発・販売。香りには、斬新,な花の香りを採用しました。
23,エコ線香の売り上げの一部を,「瀬戸内オリーブ基金」へ寄付,することで、自然保護への協力,と支援も行っています。
24,ダンボールの穴に風を通すこと,で間接的に乾燥することが可能,になります。工場見学の際に,ぜひ見てみてくださいね。
25,薫寿堂の工場では1日に約6千箱,の製品を生産していますが、,一つ一つすべてを丁寧な手作業,で心を込めて仕上げています。
26,私たち薫寿堂では、お客様に,安心して商品をお使いいただけ,るよう、よりよい商品の開発や,製造に日々精進しています。
27,これからも、伝統の香りに新し,い時代のエッセンスを加え、,数々の洗練された芳香を新しい,暮らしの中へお届けします。
