A,選択肢テキスト（13文字）
0,ここにテキストを入れる
1,明石海峡大橋の長さ
2,富士山の高さ
3,大阪湾の深さ
4,梅
5,水仙
6,椿
7,5枚
8,25枚
9,15枚
10,11箇所
11,22箇所
12,33箇所
13,にんじん
14,たまねぎ
15,じゃがいも
16,豚丼
17,鶏丼
18,牛丼
19,全工程
20,原料製造
21,整形加工
22,アコヤ貝
23,真珠核
24,養殖真珠
25,淡路さん
26,国生みさん
27,一宮(いっくさん)
28,日本遺産
29,世界遺産
30,歴史遺産
31,万葉集
32,古事記
33,風土記
34,美食国
35,旨食国
36,御食国
37,赤色
38,淡色
39,玉ねぎ色
40,弁財天
41,恵比寿天
42,大黒天
43,琵琶湖より大きい
44,シンガポールより大きい
45,グアム島より大きい
46,聖徳太子
47,推古天皇
48,小野妹子
49,海流の速度
50,冬場の季節風
51,標高の高さ
52,4月8日
53,4月28日
54,4月18日
55,六国五味
56,六国五香
57,六国五音
58,色味の違い
59,特にない
60,香りの種類
61,香りを読む
62,香りを見る
63,香りを聞く
64,微煙タイプ
65,七色タイプ
66,渦巻き型タイプ
67,リサイクル紙
68,河川敷などの竹
69,ペットボトル
70,ベニヤ板
71,新聞紙
72,ダンボール板
73,人間による手作業
74,ロボットによる作業
75,機械による自動作業
76,5分
77,1時間
78,30分
79,1周年
80,10周年
81,100周年
