No,info1,info2,info3,info4,info5,info6,info7,info8
0,1行目のテキスト,2行目のテキスト,3行目のテキスト,4行目のテキスト,5行目のテキスト,6行目のテキスト,7行目のテキスト,8行目のテキスト
1,「花琳」は現代的でやさしい白檀,の香りが広がるお線香です。,白檀、天然香料をブレンドする,ことにより、現代的で甘くソフト,な香りに仕上げました。,平安朝のパッケージデザインと,現代的な香り、古典の中に新し,さを加えたお線香です。
2,「特撰花琳」は白檀の甘く優雅な,香りが広がるお線香です。,白檀を基調とし、カッ香、桂皮,などの天然香料をバランスよく,配合しました。,甘く優雅な和の香りがお楽しみ,いただけます。
3,「渡月」は気品あふれる沈丁花の,香りが広がるお線香です。,漢薬香木系のお線香とは一線を,画した、沈丁花の甘い香りの,お線香です。,独特の風合いを持つ香りは、,漢薬系の香りを好まない人にも,楽しんでいただけます。
4,「貴舟」は沈香と白檀をベースに,した優雅な香りのお線香です。,すがすがしい白檀の香りと、沈,香木を調香した高級線香です。,最近の傾向にあわせ香りは優し,く、残り香もほのかに上品です。
5,「飛燕」は香木が持つ独特の重厚,感の華麗な香りが広がります。,沈香木、白檀、丁子等の天然漢薬、,フランス産香水をブレンドしまし,た。,香木の持つ重厚さと香水の華や,かさを持つお線香です。
6,「瑞涛」はシャム沈香を上品に,際立たせた香りのお線香です。,ベトナム産シャム沈香、天然白檀、,麝香を配合。あくまで主役の,シャム沈香の香りを強調した,香りで、漢薬系の香りを漂わせ,ながら沈香そのものの香りも,楽しんでいただけます。
7,「香雲」は天然白檀の風雅な香り,が広がる、香りが少ないタイプ,のお線香です。,荘厳でいまや貴重な香木である,天然白檀を使用しています。,移ろいゆく時間を愛しむように,包み込む香りの余韻をお楽しみ,ください。
8,「白檀白雪」は最高級とされる,インド、マイソール州の白檀オイル,を使用。マイソール産ならではの,芳香でたちまちあたりを高貴な,空間に変えてくれます。
9,「サファイア宝」は幽玄な沈香木,の香りが広がる、煙が少ない,タイプ。世界初の『消臭効果』を,持つお線香です。,「神聖なる力を持つ幻の石」と,いわれる宝石サファイアのように,東洋の高貴なイメージ漂う沈香木,の香りです。
10,さりげなく香らせる香水を選ん,だあなたには、ルビー宝。清ら,かな花々の香りが広がるお線香,です。宝シリーズの中でももっ,とも煙が少なく無煙に近い「極,微煙」。天然消臭成分を配合で、,気になるニオイを消臭しながら,良い香りが広がります。
11,ナチュラルな香らせ方を選んだ,あなたには、ジャスミンを基調,とした香りが広がるパール宝を,おすすめ。煙が少ないタイプの,お線香です。「月の雫」と形容,される清楚でやさしい輝きを,魅せる宝石の女王パール。,優雅でエレガントな香りです。
12,ゴージャスな雰囲気を選んだあ,なたには、ダイヤ宝をおすすめ。,宝石の王の名にふさわしい高貴,な香りは、フランスの有名な,調香師、ルネ・オーディベール氏の,調香による、100％天然香料を,使用した業界初のお線香です。,
13,はなやかな雰囲気を持つあなた,には、芳醇で華やかなローズを,イメージした「花かおり ローズ,カラー微煙タイプ」。,天然消臭成分フラボノイドを配合,していますので、気になるニオ,イを消しながら爽やかなお花の,香りが広がります。
14,さわやかな雰囲気を持つあなた,には、すがすがしいラベンダー,をイメージした「花かおり ラベ,ンダー　カラー微煙タイプ」。,天然消臭成分フラボノイドを配合,していますので、気になるニオ,イを消しながら爽やかなお花の,香りが広がります。
15,あでやかな雰囲気のあなたには、,チュベローズをイメージした,「宝ゴールド」がぴったり。,火を点けると、その熱でマイクロ,カプセルに閉じ込められた香り,の成分がはじめて放たれるため、,いつでも新鮮な香りが楽しめる,という画期的なお線香です。
16,桜茶の香りが好きなあなたには、,「エコ宝さくら」をおすすめ。,『ECO』原料を使用し、桜の香り,をイメージしたお線香です。,煙が少なく灰も少ないタイプ。,自然や環境に配慮し、原料を選,別してつくった“地球にやさしい,お線香”です。
17,コーヒー好きのあなたに、,「珈琲園 カラー微煙タイプ」を,おすすめ。コーヒーの香りに,包まれて穏やかなひととき。,天然消臭成分フラボノイドを配合,していますので、気になるニオ,イを消しながら、コーヒーの,芳ばしい香りが広がります。
18,緑茶好きのあなたには、「八十,八夜　カラー微煙タイプ」。緑茶を,煎じたような香ばしい香りに,包まれてくつろぎのひととき。,天然消臭成分フラボノイドを配合,していますので、気になるニオ,イを消しながら緑茶の良い香り,が広がるインセンスです。
19,「天寶」シリーズは、古き良き時代,のお香を現代に再現するため,正直に本物のみにこだわって,つくりあげた「天然原料100％」,のお香です。,丁寧に熟成された、高価で大変,貴重な伽羅の幽玄な香りを心ゆ,くまでお楽しみください。
20,「香三昧」シリーズの優れた消臭効,果は、食べ物や飲み物のニオイ,がこもりがちなお部屋だけでな,くお茶席や料亭、和室などにも,最適です。,気になるニオイを消しながら、,雅でたおやかな心やすらぐ香り,でお部屋を満たします。
21,「漢健香」シリーズ5種は、漢方生,薬やハーブなどの天然植物の,大いなるチカラを借り、人間の,五感のうちの＜嗅覚＞の力を,引き出す香りです。,天然の生薬とハーブを炭と,蜂蜜で丹念に練り込んだ,天然原料100％の漢方香です。
22,「花かおりミニ」シリーズ5種は,やさしい花の香で幅広く愛さ,れているシリーズ。,天然消臭成分フラボノイドを配合,していますので、気になるニオ,イを消しながら爽やかなお花の,香りが広がるインセンスです。,
23,お香として長時間ゆっくり,香を楽しみたい方にはうずまき,シリーズ。フラボノイド配合でしっ,かり消臭しながらお花の良い香,りが広がる「花かおりうずまき」,5種、薫寿堂を代表する「特選,花琳」、どちらも2時間以上香が,続きます。
24,日本には素晴らしい伝統や文化、,そして風情ある建物などたくさ,んのいいものがあります。そん,な日本の「都市」や「文化」を,テーマに作られたのが、「プリ,ント印香」8種類。,お部屋のインテリアとしても楽し,める新しいお香です。
25,香りを手軽に楽しめる香り付,シート「フレグランスシート」,は、そのままでもお使いいただ,けますが、お好きな形にカット,も出来るので、名刺入れに忍ば,せたり、クローゼットに入れたり,と、アイデア次第でさまざまに,お楽しみいただけます。
26,薫寿堂の匂袋は、本格的なもの,から今風の香りまでいろいろ。,着物や浴衣にも似合います。車,やお部屋に掛けても楽しめます。,お香教室で自分だけのオリジナ,ルを作ることもできますよ。,
27,火を使わずに香りを楽しめる,サシェは、お部屋や玄関、トイレに,置いたり、クローゼットや靴箱,に入れるだけで快適な香りの,空間を演出できます。,手軽なサイズなので、カードや,ギフトに添えるちょっとした,香りのプレゼントにも最適です。
